SDPR
PF4
PPBP
COBLL1
SLC38A11
PF4V1
FCRL1
TREML1
RGS18
DSP
KCNH8
PEAR1
PPP1R14A
THRB
SDK2
GP9
NFE2
PDZK1IP1
EML6
LOC100507254
ZDHHC19
FCN1
CLEC1B
OSBPL10
LGALS12
PCDH9
P2RY14
GP1BB
ADD2
ENKUR
GYLTL1B
AQP10
ZFP2
LOC348840
ZBTB16
HBB
FAM129C
LCN2
GAPT
DCLK2
WSCD2
MEGF6
GDF7
MYO15B
FBLN2
RASGRP2
ADAM28
LCN8
SYT1
NAT8B
CORO2B
GNAZ
KHDRBS2
MYO3A
LY6G6F
LY6G6E
HTR3A
KLF4
GALNTL6
ALPL
TSPAN13
RGS7
ITGA2B
DUSP1
EFHC2
VAV3
LOC645638
LIX1
ARHGAP32
LOC254099
GFI1B
AEBP1
BACH2
HHEX
TP53I11
WASF3
TUBB1
C15orf54
APCDD1
AFF3
IRS2
ADARB1
FOSB
SCN3A
FOS
ZNF385D
FAM177B
LRRN1
MFAP3L
REXO1L2P
CMTM5
CD1D
PROX1
GRB14
NR3C2
MME
ALS2CR11
KCNG1
PITPNM2
JHDM1D
PDK4
CD1A
FKSG29
C7orf58
KCNH2
ARRDC4
XK
C7orf71
KLHL14
OR2W3
GPM6A
MYCT1
FCRL2
BEND5
ST6GALNAC3
LCN10
AHNAK2
HBG1
ITGB3
TSC22D3
CABP5
C9orf174
RAP1GAP2
LOC284749
BDAG1
CNFN
C19orf33
CLDN5
CNTNAP2
LOXHD1
IGF1R
BANK1
TNR
EHD3
SELP
LAMC3
LOC100129827
MAGED4
TLE1
CLU
CARNS1
RNF144B
MAGED4B
SCN1A
ABCA1
EPHB6
MUC16
LRRN2
ARG1
GPRASP1
RAB27B
CAPN14
TAL1
SCN9A
LAMA5
SH3BGRL2
RCAN3
TKTL2
TMEM71
PELI2
C16orf74
CA14
MIR4420
FOXP1
ZNF618
GABBR1
ST14
PAR5
ABLIM3
PTGS1
ARHGAP24
KIAA1683
DIRAS1
NXPH4
AREG
ZNF860
GATA1
MMRN1
LOC338651
KLF11
LOC100499484
Mar-01
FHL1
PRKAR2B
ARHGAP20
GRIK3
OBSCN
RAVER2
PWWP2B
ACRBP
NKX3-1
CELSR1
RAB37
ZNF354C
HBG2
GPA33
TBC1D9
FAM153A
CHST15
ANGPTL1
NT5E
LFNG
SCN2A
MAP3K1
BACE2
IL5RA
CLCN4
SNORA81
ODZ4
LOC643529
C5orf4
SLC40A1
SIK1
DNAJB13
TGFBR2
MMP17
FZD8
SMAGP
CRHBP
AVPR2
DNMT3L
ANKS6
NRGN
PLD5
GALNT9
TEAD2
FXYD1
KLF2
EGF
TXNIP
SH3BP4
CCDC85A
USP44
LOC731789
MGP
HEMGN
CXCR4
ETNK2
TANC2
SIGLEC6
TCP11L2
TSPAN9
SYN3
CHAD
CCR9
SNORD2
PNMA5
VEPH1
ZBED6
BTNL2
MCF2L
C15orf26
GRASP
MMP11
DPEP2
PSD3
KCNA6
SOX30
C7orf41
KRTAP5-1
ZNF185
WNT16
YPEL2
MEIS1
KLHL11
PPP1R9A
C12orf42
LOC100129726
SNCA
NCRNA00086
ARL4A
TAGAP
MIR1248
PLA2G10
PBX1
FAM150B
SPOCK2
C9orf131
MGAT5
SCN5A
C8orf42
S100Z
SNTG2
KRTAP5-2
TFEC
KCNJ3
GPHA2
TRIB2
COL9A1
MAP2
SNORA3
CDC42BPG
KIAA1804
CD1C
RXFP4
TSSK4
SNORD45A
SLC30A4
AIM1L
NNAT
MIR4639
FAM65C
RBFOX3
FSTL1
LOC100128081
JUP
MYO1B
ABCC3
SCN4A
SLC19A3
TMEM40
FAM157B
VIPR1
C14orf183
HCG23
SMOX
NBPF10
PTCRA
