MMP7
MYH6
STC2
WNT5B
VCAM1
UBD
PRKCDBP
BCAR1
CXCL10
LIN7A
SERPINB10
PIR-FIGF
C8orf47
CEP55
FXYD2
EOMES
LGALS14
EMID1
CDC25C
IL32
DYRK3
FXYD6-FXYD2
TSPAN12
SMPDL3B
CXCL9
PHLDA3
SLCO2B1
GZMK
MYH7
VWA1
CCL3
CCL3L1
CCL3L3
MKI67
CXCL13
HRASLS2
TNFSF11
DLGAP5
TNFRSF8
MELK
PIR
LAG3
FBXO16
TPBG
NEUROG2
KCNK1
RGNEF
CSAG2
CSAG3
FASLG
UNQ6494
SLC1A1
C18orf56
CCL25
ITGA1
WFDC2
TGM5
CCL1
BHLHE22
SHOX2
MUC12
FAM38B
ACHE
NEIL3
C6orf223
TMEM51
CCL4L1
CCL4L2
STARD13
LIF
ZNRF1
DIAPH3
SDC1
GPNMB
CCL17
CHI3L1
CCL2
GDF15
NTRK2
XIRP1
ACOXL
C10orf10
GIMAP7
HMSD
DTHD1
LOC100498859
FSCN1
ZC3H12C
E2F8
GZMH
SCNN1B
GZMB
CYS1
CYP1B1
KIF4A
NDFIP2
CREB3L1
ENTPD2
KIF23
RHOV
KIF7
C1QC
CDC20
SPAG6
C1QA
SKA3
TIMD4
ANO5
AHRR
LAD1
CLDN14
KRT86
ADAMTS12
ARHGEF17
SPR
SOX9
HSPA4L
ELOVL4
GZMA
NCS1
TNFAIP6
PDLIM4
HEY1
COL24A1
NCALD
NDN
KIF6
IQGAP3
HOXB9
IFNA2
PBK
HNF4G
IL2RB
TPRG1
MIR155
CD2
TINAG
FAM149A
CYBRD1
BATF3
RARRES2
GNLY
A4GALT
CDH2
PPARG
NPR1
EMX1
C1QB
UBE2C
KIF20A
STRA6
CASR
KLRC2
TMEM155
CST7
KRT7
MFI2
NXPH3
TCF15
DEPDC1B
GNG12
PRF1
NKG7
CCL4
CD3D
PSAT1
CCL8
HMHB1
MAL
DEPDC7
CXCL12
G0S2
FAM75D1
CABLES1
MGST1
XCL1
BEND6
TIE1
MMP12
ARHGAP10
CCL20
IL12B
CDK1
C1orf61
PAX9
IER3
KLRC3
GAP43
DAAM2
IFI27
IGDCC4
IL1A
TYMS
ARHGAP23
KIAA1217
IL1R2
TSLP
XCL2
LMO3
CD276
ANLN
CDC25A
CADPS2
BIRC5
PLA1A
KCTD14
DPYSL3
VLDLR
CKAP2L
NRG2
NCRNA00158
PITX1
LGALS17A
CDC45
ASB2
LIM2
CCL18
COL16A1
CSF1
CCL22
LOC63930
C15orf42
CD3E
FOXA3
GLIS3
HCAR3
SMAD1
ARHGEF25
TPX2
IVL
MSC
CD8A
SH2D1A
OGDHL
